gammafrac;sigma;PW;VIPE;PE;mu0;Et;lambdabr;lambdasd;Bc;R0;a;b;c;ELi;Ealpha;En;etat;n;sigmav;
0.45303952610684844;210.31257205615213;0.9530447685006943;5.5020046825539515;42.908167276308475;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.0;0.5;0.8;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.033681412942076515;232.0222569135614;0.9530447685006943;6.609030106307949;42.908167276308475;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.0;0.5;0.9600000000000001;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
4.93736622731787e-07;253.73194177097068;0.9530447685006943;7.810270459743142;42.908167276308475;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.0;0.5;1.12;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
9.821190764790864e-28;275.44162662837994;0.9530447685006943;9.105725742859525;42.908167276308475;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.0;0.5;1.2800000000000002;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
2.177506451016105e-116;297.15131148578917;0.9530447685006943;10.495395955657099;42.908167276308475;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.0;0.5;1.4400000000000002;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.0;318.8609963431984;0.9530447685006943;11.979281098135862;42.908167276308475;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.0;0.5;1.6;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.45303952610684844;210.31257205615213;0.9530447685006943;5.502004682553951;47.19898400393933;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.4;0.5;0.8;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.033681412942076515;232.0222569135614;0.9530447685006943;6.609030106307948;47.19898400393933;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.4;0.5;0.9600000000000001;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
4.93736622731787e-07;253.73194177097068;0.9530447685006943;7.8102704597431405;47.19898400393933;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.4;0.5;1.12;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
9.821190764790864e-28;275.44162662837994;0.9530447685006943;9.105725742859523;47.19898400393933;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.4;0.5;1.2800000000000002;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
2.177506451016105e-116;297.15131148578917;0.9530447685006943;10.495395955657097;47.19898400393933;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.4;0.5;1.4400000000000002;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.0;318.8609963431984;0.9530447685006943;11.979281098135859;47.19898400393933;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.4;0.5;1.6;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.45303952610684844;210.31257205615213;0.9530447685006943;5.502004682553951;51.48980073157018;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.8;0.5;0.8;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.033681412942076515;232.0222569135614;0.9530447685006943;6.609030106307948;51.48980073157018;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.8;0.5;0.9600000000000001;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
4.93736622731787e-07;253.73194177097068;0.9530447685006943;7.8102704597431405;51.48980073157018;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.8;0.5;1.12;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
9.821190764790864e-28;275.44162662837994;0.9530447685006943;9.105725742859523;51.48980073157018;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.8;0.5;1.2800000000000002;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
2.177506451016105e-116;297.15131148578917;0.9530447685006943;10.495395955657097;51.48980073157018;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.8;0.5;1.4400000000000002;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.0;318.8609963431984;0.9530447685006943;11.97928109813586;51.48980073157018;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;4.8;0.5;1.6;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.45303952610684844;210.31257205615213;0.9530447685006943;5.5020046825539515;55.78061745920102;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;5.2;0.5;0.8;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
0.033681412942076515;232.0222569135614;0.9530447685006943;6.60903010630795;55.78061745920102;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;5.2;0.5;0.9600000000000001;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
4.93736622731787e-07;253.73194177097068;0.9530447685006943;7.810270459743141;55.78061745920102;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;5.2;0.5;1.12;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
9.821190764790864e-28;275.44162662837994;0.9530447685006943;9.105725742859525;55.78061745920102;1.24552706212e-06;2.5e-08;0.0031;0.055;13.0;5.2;0.5;1.2800000000000002;0.5;2.5;3.5;14.1;0.4;1.5e+20;3e-22;
